freq,psd_x,psd_y,psd_z,psd_xyz
149.5,2.670e+05,3.894e+04,2.372e+04,3.297e+05
150.8,2.806e+05,3.801e+04,2.777e+04,3.464e+05
152.1,2.787e+05,3.418e+04,2.809e+04,3.409e+05
153.4,2.731e+05,3.916e+04,2.924e+04,3.415e+05
154.6,2.596e+05,3.859e+04,3.155e+04,3.297e+05
155.9,3.014e+05,3.608e+04,3.108e+04,3.686e+05
157.2,3.254e+05,3.758e+04,3.341e+04,3.964e+05
158.5,2.960e+05,3.812e+04,3.110e+04,3.652e+05
159.7,3.065e+05,3.640e+04,3.094e+04,3.738e+05
161.0,3.016e+05,3.576e+04,2.753e+04,3.649e+05
162.3,2.552e+05,3.406e+04,2.685e+04,3.161e+05
163.6,2.522e+05,3.877e+04,2.918e+04,3.201e+05
164.9,2.612e+05,4.570e+04,2.818e+04,3.351e+05
166.1,2.981e+05,4.629e+04,3.487e+04,3.792e+05
167.4,2.882e+05,4.794e+04,3.717e+04,3.733e+05
168.7,2.633e+05,4.597e+04,3.247e+04,3.417e+05
170.0,2.947e+05,5.143e+04,3.727e+04,3.834e+05
171.3,2.513e+05,4.863e+04,3.583e+04,3.357e+05
172.5,2.277e+05,4.025e+04,3.591e+04,3.038e+05
173.8,2.238e+05,4.051e+04,3.446e+04,2.988e+05
175.1,2.496e+05,4.546e+04,3.465e+04,3.297e+05
176.4,2.416e+05,3.845e+04,3.791e+04,3.180e+05
177.6,2.642e+05,4.440e+04,5.102e+04,3.597e+05
178.9,2.185e+05,4.057e+04,4.014e+04,2.992e+05
180.2,2.007e+05,3.668e+04,3.519e+04,2.726e+05
181.5,2.092e+05,3.733e+04,3.758e+04,2.841e+05
182.8,2.333e+05,3.731e+04,4.798e+04,3.186e+05
184.0,2.003e+05,3.607e+04,4.707e+04,2.835e+05
185.3,1.701e+05,3.431e+04,4.352e+04,2.479e+05
186.6,1.804e+05,3.501e+04,3.892e+04,2.543e+05
