freq,psd_x,psd_y,psd_z,psd_xyz
0.0,2.605e+02,1.175e+03,8.377e+03,9.813e+03
1.3,1.432e+03,5.240e+03,4.677e+04,5.344e+04
2.5,1.809e+03,6.022e+03,5.729e+04,6.512e+04
3.8,1.877e+03,6.322e+03,5.579e+04,6.399e+04
5.1,2.314e+03,7.481e+03,5.376e+04,6.355e+04
6.4,1.944e+03,7.511e+03,6.196e+04,7.142e+04
7.6,1.859e+03,7.722e+03,5.292e+04,6.250e+04
8.9,2.025e+03,9.662e+03,6.896e+04,8.065e+04
10.2,1.791e+03,9.120e+03,6.767e+04,7.858e+04
11.5,1.443e+03,1.075e+04,5.518e+04,6.737e+04
12.7,1.649e+03,9.695e+03,5.226e+04,6.360e+04
14.0,1.657e+03,9.374e+03,4.741e+04,5.844e+04
15.3,1.559e+03,1.157e+04,5.079e+04,6.391e+04
16.5,1.854e+03,1.314e+04,4.895e+04,6.394e+04
17.8,1.969e+03,1.172e+04,5.063e+04,6.432e+04
19.1,1.779e+03,1.048e+04,6.005e+04,7.231e+04
20.4,1.544e+03,9.954e+03,5.674e+04,6.824e+04
21.6,1.746e+03,1.105e+04,5.480e+04,6.760e+04
22.9,1.746e+03,1.285e+04,6.406e+04,7.866e+04
24.2,1.859e+03,1.508e+04,7.818e+04,9.512e+04
25.5,1.972e+03,1.631e+04,8.338e+04,1.017e+05
26.7,2.104e+03,1.824e+04,9.900e+04,1.193e+05
28.0,2.535e+03,2.161e+04,1.322e+05,1.564e+05
29.3,2.346e+03,1.768e+04,1.666e+05,1.866e+05
30.5,2.859e+03,1.940e+04,2.119e+05,2.342e+05
31.8,3.531e+03,2.161e+04,2.815e+05,3.066e+05
33.1,3.964e+03,1.975e+04,2.881e+05,3.119e+05
34.4,3.829e+03,2.169e+04,3.369e+05,3.624e+05
35.6,4.001e+03,2.431e+04,4.889e+05,5.172e+05
36.9,4.813e+03,2.729e+04,8.375e+05,8.696e+05
38.2,8.526e+03,2.733e+04,1.956e+06,1.992e+06
39.5,1.677e+04,2.894e+04,3.446e+06,3.492e+06
40.7,1.567e+04,2.854e+04,2.837e+06,2.881e+06
42.0,1.240e+04,2.446e+04,1.826e+06,1.863e+06
43.3,1.686e+04,3.007e+04,2.238e+06,2.285e+06
44.6,1.909e+04,2.759e+04,2.496e+06,2.543e+06
45.8,1.496e+04,1.990e+04,1.639e+06,1.674e+06
47.1,1.715e+04,1.603e+04,1.302e+06,1.336e+06
48.4,2.363e+04,1.471e+04,1.454e+06,1.493e+06
49.6,2.286e+04,1.259e+04,9.637e+05,9.992e+05
50.9,2.029e+04,1.560e+04,7.870e+05,8.229e+05
52.2,1.670e+04,1.899e+04,6.301e+05,6.658e+05
53.5,1.289e+04,1.612e+04,5.065e+05,5.355e+05
54.7,1.325e+04,1.369e+04,3.921e+05,4.191e+05
56.0,1.317e+04,1.331e+04,3.402e+05,3.667e+05
57.3,1.176e+04,1.537e+04,3.344e+05,3.616e+05
58.6,7.533e+03,1.401e+04,2.820e+05,3.036e+05
59.8,6.320e+03,1.390e+04,2.797e+05,2.999e+05
61.1,6.046e+03,1.567e+04,2.526e+05,2.743e+05
62.4,8.702e+03,1.688e+04,2.895e+05,3.151e+05
63.6,1.008e+04,2.246e+04,2.755e+05,3.080e+05
64.9,7.087e+03,2.562e+04,1.845e+05,2.172e+05
66.2,5.890e+03,3.303e+04,1.619e+05,2.008e+05
67.5,5.270e+03,3.542e+04,1.304e+05,1.711e+05
68.7,5.475e+03,3.897e+04,1.306e+05,1.751e+05
70.0,4.197e+03,3.748e+04,1.167e+05,1.584e+05
71.3,3.621e+03,4.043e+04,1.209e+05,1.650e+05
72.6,4.176e+03,4.144e+04,1.127e+05,1.583e+05
73.8,4.751e+03,4.230e+04,9.838e+04,1.454e+05
75.1,5.228e+03,5.061e+04,1.028e+05,1.586e+05
76.4,4.937e+03,6.907e+04,9.677e+04,1.708e+05
77.6,5.185e+03,7.976e+04,1.121e+05,1.970e+05
78.9,6.115e+03,9.780e+04,1.240e+05,2.279e+05
80.2,5.952e+03,1.119e+05,1.247e+05,2.426e+05
81.5,5.932e+03,1.180e+05,1.671e+05,2.910e+05
82.7,5.948e+03,9.332e+04,1.203e+05,2.196e+05
84.0,6.541e+03,1.107e+05,1.252e+05,2.425e+05
85.3,6.245e+03,1.306e+05,1.317e+05,2.686e+05
86.6,7.021e+03,1.786e+05,1.584e+05,3.440e+05
87.8,7.837e+03,2.157e+05,1.720e+05,3.956e+05
89.1,6.972e+03,2.010e+05,1.405e+05,3.484e+05
90.4,7.446e+03,2.085e+05,1.339e+05,3.499e+05
91.6,7.652e+03,2.209e+05,1.264e+05,3.549e+05
92.9,7.264e+03,1.497e+05,9.516e+04,2.521e+05
94.2,9.078e+03,1.325e+05,8.043e+04,2.220e+05
95.5,1.007e+04,1.629e+05,7.708e+04,2.500e+05
96.7,9.135e+03,1.223e+05,6.092e+04,1.923e+05
98.0,8.173e+03,9.059e+04,5.282e+04,1.516e+05
99.3,8.909e+03,8.616e+04,5.168e+04,1.468e+05
100.6,9.441e+03,6.956e+04,4.280e+04,1.218e+05
101.8,9.495e+03,6.011e+04,3.612e+04,1.057e+05
103.1,8.121e+03,4.543e+04,3.028e+04,8.383e+04
104.4,7.586e+03,4.161e+04,2.896e+04,7.816e+04
105.6,1.038e+04,3.048e+04,2.503e+04,6.589e+04
106.9,1.247e+04,2.060e+04,2.184e+04,5.490e+04
108.2,2.003e+04,2.881e+04,2.285e+04,7.169e+04
109.5,1.974e+04,2.711e+04,2.400e+04,7.086e+04
110.7,1.227e+04,2.115e+04,2.395e+04,5.737e+04
112.0,1.045e+04,2.160e+04,2.373e+04,5.579e+04
113.3,1.112e+04,1.853e+04,1.850e+04,4.815e+04
114.6,1.054e+04,1.656e+04,1.664e+04,4.374e+04
115.8,8.806e+03,1.763e+04,1.814e+04,4.458e+04
117.1,9.050e+03,1.726e+04,1.939e+04,4.570e+04
118.4,1.153e+04,1.730e+04,2.126e+04,5.010e+04
119.7,1.265e+04,1.942e+04,2.444e+04,5.650e+04
120.9,1.394e+04,1.911e+04,1.935e+04,5.239e+04
122.2,1.061e+04,1.527e+04,1.610e+04,4.198e+04
123.5,1.277e+04,2.085e+04,1.705e+04,5.067e+04
124.7,1.288e+04,2.525e+04,1.706e+04,5.519e+04
126.0,1.482e+04,2.396e+04,1.434e+04,5.312e+04
127.3,1.296e+04,2.544e+04,1.691e+04,5.530e+04
128.6,1.442e+04,2.665e+04,1.733e+04,5.841e+04
129.8,1.408e+04,2.479e+04,1.240e+04,5.128e+04
131.1,1.243e+04,2.357e+04,1.290e+04,4.890e+04
132.4,1.549e+04,2.380e+04,1.524e+04,5.453e+04
133.7,1.593e+04,2.432e+04,1.378e+04,5.402e+04
134.9,1.371e+04,2.334e+04,1.321e+04,5.026e+04
136.2,1.827e+04,1.690e+04,1.353e+04,4.870e+04
137.5,2.343e+04,1.767e+04,1.288e+04,5.399e+04
138.7,2.936e+04,1.960e+04,1.360e+04,6.256e+04
140.0,1.784e+04,1.613e+04,1.431e+04,4.828e+04
141.3,1.690e+04,1.417e+04,1.563e+04,4.670e+04
142.6,2.488e+04,1.582e+04,1.656e+04,5.726e+04
143.8,1.978e+04,1.396e+04,1.443e+04,4.817e+04
145.1,1.881e+04,1.236e+04,1.325e+04,4.442e+04
146.4,2.082e+04,1.181e+04,1.073e+04,4.337e+04
147.7,2.271e+04,1.473e+04,9.894e+03,4.734e+04
148.9,2.469e+04,1.477e+04,1.233e+04,5.179e+04
150.2,2.324e+04,1.318e+04,1.307e+04,4.949e+04
151.5,2.044e+04,1.084e+04,1.167e+04,4.295e+04
152.7,1.901e+04,9.313e+03,1.081e+04,3.914e+04
154.0,1.547e+04,8.846e+03,9.695e+03,3.401e+04
155.3,1.503e+04,8.575e+03,9.811e+03,3.341e+04
156.6,1.765e+04,1.178e+04,8.968e+03,3.840e+04
157.8,2.037e+04,1.334e+04,8.292e+03,4.200e+04
159.1,1.712e+04,1.165e+04,9.344e+03,3.811e+04
160.4,1.503e+04,1.102e+04,9.239e+03,3.528e+04
161.7,1.595e+04,1.103e+04,9.666e+03,3.665e+04
162.9,1.283e+04,1.042e+04,1.033e+04,3.358e+04
164.2,1.569e+04,1.199e+04,8.382e+03,3.607e+04
