freq,psd_x,psd_y,psd_z,psd_xyz
165.5,1.726e+04,1.224e+04,8.959e+03,3.847e+04
166.7,1.386e+04,1.065e+04,1.065e+04,3.515e+04
168.0,1.368e+04,1.025e+04,1.044e+04,3.438e+04
169.3,1.495e+04,1.089e+04,9.687e+03,3.553e+04
170.6,1.577e+04,1.222e+04,8.890e+03,3.688e+04
171.8,1.520e+04,1.147e+04,1.067e+04,3.735e+04
173.1,1.619e+04,1.337e+04,1.187e+04,4.143e+04
174.4,1.529e+04,1.456e+04,1.032e+04,4.017e+04
175.7,1.799e+04,1.645e+04,1.186e+04,4.629e+04
176.9,2.108e+04,1.757e+04,1.059e+04,4.925e+04
178.2,1.933e+04,1.370e+04,1.016e+04,4.319e+04
179.5,1.883e+04,1.645e+04,1.248e+04,4.775e+04
180.7,2.106e+04,2.074e+04,1.390e+04,5.570e+04
182.0,1.916e+04,2.055e+04,1.391e+04,5.362e+04
183.3,2.200e+04,2.499e+04,1.639e+04,6.339e+04
184.6,2.224e+04,2.350e+04,1.588e+04,6.162e+04
185.8,2.255e+04,2.793e+04,1.756e+04,6.804e+04
187.1,2.854e+04,3.911e+04,2.343e+04,9.108e+04
188.4,2.834e+04,4.294e+04,2.392e+04,9.521e+04
189.7,3.138e+04,4.270e+04,2.600e+04,1.001e+05
190.9,2.962e+04,4.066e+04,2.508e+04,9.535e+04
192.2,3.099e+04,4.241e+04,2.559e+04,9.899e+04
193.5,3.368e+04,5.815e+04,3.448e+04,1.263e+05
194.8,2.799e+04,5.481e+04,3.056e+04,1.134e+05
196.0,2.612e+04,5.243e+04,2.623e+04,1.048e+05
197.3,2.793e+04,4.273e+04,2.219e+04,9.285e+04
198.6,3.429e+04,4.264e+04,2.617e+04,1.031e+05
199.8,2.886e+04,4.186e+04,2.254e+04,9.326e+04
