freq,psd_x,psd_y,psd_z,psd_xyz
0.0,1.743e+03,4.367e+03,4.354e+04,4.965e+04
1.3,7.941e+03,2.461e+04,1.970e+05,2.295e+05
2.6,8.581e+03,2.536e+04,2.342e+05,2.681e+05
3.8,8.287e+03,2.615e+04,2.114e+05,2.458e+05
5.1,9.454e+03,2.754e+04,2.096e+05,2.466e+05
6.4,1.068e+04,3.154e+04,2.285e+05,2.707e+05
7.7,9.646e+03,2.955e+04,2.365e+05,2.757e+05
8.9,8.453e+03,2.936e+04,2.481e+05,2.859e+05
10.2,8.395e+03,3.586e+04,2.575e+05,3.018e+05
11.5,8.237e+03,3.973e+04,2.623e+05,3.102e+05
12.8,7.538e+03,4.109e+04,2.663e+05,3.150e+05
14.0,7.630e+03,3.957e+04,2.344e+05,2.816e+05
15.3,8.985e+03,4.378e+04,2.508e+05,3.036e+05
16.6,9.768e+03,4.865e+04,2.506e+05,3.090e+05
17.9,9.912e+03,4.954e+04,2.696e+05,3.291e+05
19.2,1.072e+04,6.789e+04,2.783e+05,3.569e+05
20.4,1.027e+04,9.144e+04,3.252e+05,4.269e+05
21.7,8.952e+03,6.845e+04,3.485e+05,4.259e+05
23.0,1.086e+04,6.298e+04,3.811e+05,4.550e+05
24.3,1.192e+04,7.757e+04,4.009e+05,4.904e+05
25.5,1.186e+04,7.754e+04,4.590e+05,5.484e+05
26.8,1.275e+04,6.366e+04,6.324e+05,7.088e+05
28.1,1.338e+04,7.434e+04,7.255e+05,8.132e+05
29.4,1.527e+04,8.878e+04,1.001e+06,1.105e+06
30.6,1.673e+04,9.049e+04,1.208e+06,1.315e+06
31.9,1.909e+04,8.717e+04,1.549e+06,1.655e+06
33.2,2.670e+04,8.777e+04,2.500e+06,2.615e+06
34.5,3.285e+04,9.774e+04,3.881e+06,4.011e+06
35.8,3.823e+04,1.023e+05,7.446e+06,7.587e+06
37.0,3.544e+04,1.190e+05,1.212e+07,1.227e+07
38.3,2.412e+04,1.376e+05,1.176e+07,1.192e+07
39.6,2.830e+04,1.389e+05,1.323e+07,1.339e+07
40.9,2.780e+04,1.083e+05,8.911e+06,9.047e+06
42.1,2.677e+04,8.198e+04,5.587e+06,5.696e+06
43.4,3.346e+04,9.616e+04,6.928e+06,7.057e+06
44.7,3.615e+04,8.291e+04,5.832e+06,5.951e+06
46.0,4.429e+04,6.687e+04,5.445e+06,5.556e+06
47.3,4.778e+04,5.944e+04,4.701e+06,4.809e+06
48.5,4.633e+04,4.657e+04,3.689e+06,3.781e+06
49.8,4.278e+04,5.838e+04,3.351e+06,3.452e+06
51.1,3.369e+04,9.346e+04,2.703e+06,2.830e+06
52.4,3.149e+04,1.264e+05,2.371e+06,2.529e+06
53.6,3.341e+04,1.254e+05,2.167e+06,2.326e+06
54.9,4.666e+04,1.244e+05,1.792e+06,1.963e+06
56.2,7.028e+04,1.385e+05,1.802e+06,2.011e+06
57.5,6.545e+04,1.574e+05,1.758e+06,1.981e+06
58.7,4.431e+04,1.631e+05,1.201e+06,1.408e+06
60.0,3.676e+04,1.711e+05,9.224e+05,1.130e+06
61.3,3.496e+04,1.894e+05,7.391e+05,9.635e+05
62.6,3.374e+04,1.869e+05,7.109e+05,9.315e+05
63.9,3.180e+04,1.881e+05,7.330e+05,9.529e+05
65.1,2.687e+04,1.952e+05,7.226e+05,9.447e+05
66.4,2.610e+04,2.003e+05,6.832e+05,9.096e+05
67.7,2.548e+04,1.960e+05,5.696e+05,7.911e+05
69.0,3.098e+04,2.680e+05,7.767e+05,1.076e+06
70.2,3.224e+04,2.449e+05,6.655e+05,9.426e+05
71.5,4.089e+04,2.509e+05,5.964e+05,8.882e+05
72.8,5.050e+04,2.779e+05,5.650e+05,8.934e+05
74.1,5.248e+04,2.961e+05,5.326e+05,8.812e+05
75.3,5.682e+04,2.948e+05,5.501e+05,9.017e+05
76.6,5.856e+04,2.971e+05,4.946e+05,8.502e+05
77.9,7.007e+04,4.233e+05,6.118e+05,1.105e+06
79.2,8.074e+04,5.657e+05,6.743e+05,1.321e+06
80.5,8.439e+04,8.624e+05,7.301e+05,1.677e+06
81.7,8.983e+04,1.013e+06,6.910e+05,1.794e+06
83.0,7.449e+04,1.086e+06,6.280e+05,1.789e+06
