freq,psd_x,psd_y,psd_z,psd_xyz
178.6,3.722e+04,4.658e+04,1.266e+04,9.646e+04
179.9,4.424e+04,4.054e+04,1.342e+04,9.819e+04
181.2,3.726e+04,4.142e+04,1.369e+04,9.237e+04
182.4,3.927e+04,4.372e+04,1.559e+04,9.858e+04
183.7,5.484e+04,4.877e+04,1.898e+04,1.226e+05
185.0,4.564e+04,5.443e+04,2.132e+04,1.214e+05
186.3,4.567e+04,6.008e+04,2.493e+04,1.307e+05
187.5,5.853e+04,6.085e+04,2.717e+04,1.465e+05
188.8,4.752e+04,4.406e+04,2.007e+04,1.117e+05
190.1,5.577e+04,4.916e+04,2.650e+04,1.314e+05
191.4,6.460e+04,5.835e+04,3.429e+04,1.572e+05
192.6,5.492e+04,5.866e+04,3.556e+04,1.491e+05
193.9,5.579e+04,5.975e+04,3.844e+04,1.540e+05
195.2,5.086e+04,4.804e+04,3.741e+04,1.363e+05
196.5,5.169e+04,5.787e+04,3.014e+04,1.397e+05
197.7,4.249e+04,4.996e+04,3.091e+04,1.234e+05
199.0,4.246e+04,4.659e+04,3.312e+04,1.222e+05
