freq,psd_x,psd_y,psd_z,psd_xyz
0.0,1.042e+04,6.049e+02,4.335e+02,1.146e+04
1.3,5.446e+04,3.459e+03,2.413e+03,6.034e+04
2.5,6.247e+04,4.322e+03,2.937e+03,6.973e+04
3.8,5.917e+04,4.135e+03,3.063e+03,6.637e+04
5.1,6.316e+04,3.802e+03,3.129e+03,7.009e+04
6.4,6.773e+04,3.894e+03,2.962e+03,7.459e+04
7.6,6.144e+04,4.237e+03,3.008e+03,6.869e+04
8.9,6.811e+04,3.762e+03,3.083e+03,7.495e+04
10.2,8.835e+04,3.820e+03,2.939e+03,9.510e+04
11.5,6.718e+04,3.950e+03,2.921e+03,7.405e+04
12.7,6.884e+04,4.031e+03,3.312e+03,7.618e+04
14.0,9.746e+04,4.009e+03,3.389e+03,1.049e+05
15.3,9.077e+04,3.818e+03,3.204e+03,9.779e+04
16.6,9.335e+04,3.687e+03,3.345e+03,1.004e+05
17.8,7.806e+04,4.259e+03,3.216e+03,8.554e+04
19.1,8.333e+04,4.867e+03,3.317e+03,9.152e+04
20.4,1.030e+05,4.641e+03,3.751e+03,1.114e+05
21.7,9.115e+04,4.113e+03,3.407e+03,9.867e+04
22.9,8.361e+04,3.804e+03,2.931e+03,9.034e+04
24.2,1.066e+05,4.633e+03,3.325e+03,1.145e+05
25.5,1.193e+05,4.918e+03,3.329e+03,1.276e+05
26.8,1.116e+05,4.566e+03,3.274e+03,1.195e+05
28.0,1.200e+05,3.950e+03,3.291e+03,1.272e+05
29.3,1.319e+05,4.235e+03,3.476e+03,1.396e+05
30.6,1.274e+05,4.202e+03,3.456e+03,1.351e+05
31.8,1.218e+05,4.167e+03,3.140e+03,1.291e+05
33.1,1.304e+05,4.205e+03,3.181e+03,1.378e+05
34.4,1.369e+05,4.495e+03,3.700e+03,1.451e+05
35.7,1.542e+05,4.153e+03,4.033e+03,1.624e+05
36.9,1.675e+05,4.506e+03,4.178e+03,1.762e+05
38.2,1.962e+05,5.307e+03,4.664e+03,2.061e+05
39.5,2.203e+05,5.152e+03,4.101e+03,2.295e+05
40.8,2.439e+05,5.214e+03,4.890e+03,2.540e+05
42.0,2.451e+05,5.444e+03,4.748e+03,2.553e+05
43.3,2.657e+05,5.321e+03,4.073e+03,2.751e+05
44.6,3.486e+05,5.719e+03,4.818e+03,3.591e+05
45.9,4.646e+05,7.120e+03,6.223e+03,4.779e+05
47.1,6.622e+05,8.228e+03,6.639e+03,6.771e+05
48.4,7.038e+05,9.151e+03,7.931e+03,7.209e+05
49.7,8.711e+05,9.908e+03,9.181e+03,8.902e+05
51.0,8.389e+05,9.212e+03,8.887e+03,8.570e+05
52.2,9.386e+05,9.089e+03,9.569e+03,9.573e+05
53.5,7.402e+05,1.023e+04,8.559e+03,7.590e+05
54.8,5.099e+05,9.942e+03,9.019e+03,5.289e+05
56.0,5.386e+05,1.179e+04,1.113e+04,5.616e+05
57.3,5.613e+05,1.341e+04,1.044e+04,5.851e+05
58.6,4.530e+05,1.527e+04,9.449e+03,4.778e+05
59.9,3.931e+05,1.797e+04,8.285e+03,4.194e+05
61.1,3.949e+05,2.167e+04,7.355e+03,4.239e+05
62.4,5.711e+05,3.261e+04,1.021e+04,6.139e+05
63.7,6.426e+05,3.253e+04,1.431e+04,6.894e+05
65.0,5.969e+05,2.455e+04,1.572e+04,6.372e+05
66.2,7.596e+05,2.329e+04,1.837e+04,8.013e+05
67.5,9.632e+05,2.686e+04,2.138e+04,1.011e+06
68.8,1.304e+06,2.571e+04,2.395e+04,1.354e+06
70.1,1.242e+06,2.243e+04,2.375e+04,1.288e+06
71.3,1.189e+06,1.871e+04,2.247e+04,1.230e+06
72.6,1.203e+06,1.717e+04,2.143e+04,1.242e+06
73.9,8.945e+05,1.555e+04,1.819e+04,9.282e+05
75.2,6.078e+05,1.435e+04,1.651e+04,6.387e+05
76.4,5.639e+05,1.232e+04,1.454e+04,5.907e+05
77.7,6.432e+05,1.187e+04,1.362e+04,6.687e+05
79.0,5.782e+05,1.127e+04,1.193e+04,6.014e+05
80.3,5.094e+05,1.107e+04,1.054e+04,5.310e+05
81.5,5.143e+05,1.087e+04,1.064e+04,5.358e+05
82.8,3.565e+05,1.140e+04,1.027e+04,3.782e+05
84.1,3.761e+05,1.144e+04,1.095e+04,3.984e+05
85.3,2.626e+05,1.129e+04,1.039e+04,2.842e+05
86.6,2.487e+05,1.131e+04,1.131e+04,2.713e+05
87.9,1.861e+05,1.297e+04,1.175e+04,2.109e+05
89.2,1.568e+05,1.530e+04,1.304e+04,1.852e+05
90.4,1.636e+05,1.658e+04,1.585e+04,1.960e+05
91.7,1.736e+05,1.675e+04,1.669e+04,2.071e+05
93.0,1.508e+05,1.942e+04,1.757e+04,1.878e+05
94.3,1.226e+05,2.036e+04,1.591e+04,1.589e+05
95.5,1.128e+05,1.749e+04,1.417e+04,1.444e+05
96.8,1.114e+05,1.974e+04,1.511e+04,1.463e+05
98.1,1.075e+05,2.282e+04,1.558e+04,1.459e+05
99.4,9.352e+04,2.382e+04,1.553e+04,1.329e+05
100.6,9.599e+04,2.684e+04,1.724e+04,1.401e+05
101.9,1.080e+05,3.136e+04,2.071e+04,1.601e+05
103.2,1.109e+05,3.605e+04,2.232e+04,1.693e+05
104.5,9.764e+04,3.229e+04,2.046e+04,1.504e+05
105.7,1.191e+05,3.333e+04,2.446e+04,1.769e+05
107.0,1.204e+05,3.408e+04,2.451e+04,1.790e+05
108.3,1.276e+05,3.654e+04,2.170e+04,1.858e+05
109.6,1.205e+05,3.737e+04,2.150e+04,1.794e+05
110.8,1.072e+05,3.690e+04,1.962e+04,1.637e+05
112.1,1.094e+05,3.828e+04,2.144e+04,1.691e+05
113.4,1.068e+05,3.800e+04,2.418e+04,1.690e+05
114.6,1.028e+05,3.639e+04,2.380e+04,1.630e+05
115.9,9.982e+04,3.096e+04,2.077e+04,1.515e+05
117.2,1.106e+05,3.570e+04,2.222e+04,1.685e+05
118.5,1.107e+05,3.981e+04,2.221e+04,1.727e+05
119.7,8.918e+04,3.086e+04,1.592e+04,1.360e+05
121.0,9.625e+04,3.184e+04,1.708e+04,1.452e+05
122.3,9.883e+04,3.510e+04,1.875e+04,1.527e+05
123.6,8.658e+04,3.697e+04,1.928e+04,1.428e+05
124.8,8.087e+04,3.693e+04,1.862e+04,1.364e+05
126.1,8.897e+04,4.187e+04,1.856e+04,1.494e+05
127.4,1.070e+05,4.910e+04,2.187e+04,1.780e+05
128.7,1.001e+05,4.524e+04,2.181e+04,1.672e+05
129.9,9.154e+04,4.187e+04,2.114e+04,1.545e+05
131.2,1.245e+05,3.984e+04,1.791e+04,1.823e+05
132.5,1.436e+05,4.191e+04,2.113e+04,2.066e+05
133.8,1.963e+05,4.520e+04,2.478e+04,2.663e+05
135.0,1.949e+05,3.270e+04,2.360e+04,2.512e+05
136.3,1.772e+05,2.931e+04,2.398e+04,2.305e+05
137.6,1.764e+05,3.079e+04,2.454e+04,2.318e+05
138.8,1.809e+05,2.864e+04,2.624e+04,2.358e+05
140.1,2.258e+05,2.817e+04,3.348e+04,2.875e+05
141.4,1.954e+05,2.892e+04,2.905e+04,2.534e+05
142.7,1.925e+05,3.002e+04,2.776e+04,2.503e+05
143.9,2.125e+05,2.714e+04,3.093e+04,2.705e+05
145.2,2.174e+05,2.604e+04,3.348e+04,2.770e+05
146.5,1.758e+05,2.769e+04,3.195e+04,2.354e+05
147.8,1.545e+05,2.935e+04,3.355e+04,2.174e+05
149.0,1.496e+05,2.754e+04,3.014e+04,2.073e+05
150.3,1.239e+05,2.297e+04,2.250e+04,1.694e+05
151.6,1.555e+05,2.577e+04,2.909e+04,2.103e+05
152.9,1.616e+05,2.856e+04,3.359e+04,2.238e+05
154.1,1.423e+05,2.487e+04,2.897e+04,1.961e+05
155.4,1.248e+05,2.972e+04,2.958e+04,1.841e+05
156.7,1.116e+05,2.874e+04,2.726e+04,1.676e+05
158.0,1.131e+05,2.735e+04,2.468e+04,1.651e+05
159.2,9.791e+04,2.837e+04,2.566e+04,1.519e+05
160.5,8.424e+04,2.627e+04,2.274e+04,1.333e+05
161.8,7.436e+04,3.379e+04,2.082e+04,1.290e+05
163.1,7.263e+04,3.357e+04,2.041e+04,1.266e+05
164.3,6.034e+04,2.440e+04,1.816e+04,1.029e+05
165.6,5.810e+04,2.467e+04,1.753e+04,1.003e+05
166.9,6.893e+04,2.956e+04,2.064e+04,1.191e+05
168.1,7.366e+04,3.501e+04,2.445e+04,1.331e+05
169.4,8.131e+04,3.013e+04,2.098e+04,1.324e+05
170.7,7.283e+04,3.065e+04,2.073e+04,1.242e+05
172.0,7.999e+04,3.443e+04,2.482e+04,1.392e+05
173.2,8.998e+04,3.375e+04,2.804e+04,1.518e+05
174.5,1.053e+05,2.987e+04,2.411e+04,1.593e+05
175.8,1.066e+05,3.785e+04,3.510e+04,1.795e+05
177.1,1.110e+05,3.465e+04,3.497e+04,1.806e+05
178.3,1.217e+05,3.061e+04,3.263e+04,1.849e+05
179.6,1.462e+05,3.082e+04,3.260e+04,2.096e+05
180.9,1.698e+05,4.154e+04,4.069e+04,2.520e+05
182.2,1.565e+05,4.332e+04,4.019e+04,2.400e+05
183.4,1.875e+05,4.117e+04,4.135e+04,2.700e+05
184.7,2.518e+05,3.591e+04,4.013e+04,3.279e+05
186.0,2.442e+05,3.546e+04,3.550e+04,3.152e+05
187.3,2.419e+05,4.042e+04,4.035e+04,3.227e+05
188.5,2.791e+05,4.063e+04,4.212e+04,3.618e+05
189.8,3.965e+05,4.570e+04,4.566e+04,4.879e+05
191.1,3.773e+05,3.905e+04,3.788e+04,4.542e+05
192.4,3.654e+05,3.724e+04,3.371e+04,4.363e+05
193.6,4.363e+05,4.184e+04,3.466e+04,5.128e+05
194.9,3.666e+05,4.020e+04,3.115e+04,4.380e+05
196.2,3.211e+05,3.809e+04,2.550e+04,3.847e+05
197.4,3.244e+05,3.544e+04,2.428e+04,3.841e+05
198.7,4.018e+05,4.525e+04,2.655e+04,4.736e+05
200.0,3.752e+05,6.024e+04,2.627e+04,4.617e+05
