freq,psd_x,psd_y,psd_z,psd_xyz
0.0,3.307e+04,3.113e+03,4.380e+02,3.663e+04
1.3,2.242e+05,1.326e+04,2.438e+03,2.399e+05
2.6,2.963e+05,1.651e+04,3.073e+03,3.158e+05
3.8,2.714e+05,1.348e+04,2.703e+03,2.876e+05
5.1,2.717e+05,1.616e+04,2.596e+03,2.905e+05
6.4,3.000e+05,2.162e+04,2.528e+03,3.241e+05
7.7,3.020e+05,1.948e+04,2.616e+03,3.241e+05
8.9,3.309e+05,1.728e+04,2.657e+03,3.508e+05
10.2,3.595e+05,2.519e+04,2.945e+03,3.876e+05
11.5,3.155e+05,1.801e+04,3.301e+03,3.368e+05
12.8,3.673e+05,1.853e+04,3.309e+03,3.891e+05
14.0,4.020e+05,2.589e+04,3.640e+03,4.315e+05
15.3,3.772e+05,2.767e+04,3.979e+03,4.088e+05
16.6,4.020e+05,2.990e+04,3.824e+03,4.358e+05
17.9,3.770e+05,1.967e+04,3.387e+03,4.001e+05
19.2,4.168e+05,2.131e+04,3.566e+03,4.417e+05
20.4,4.842e+05,3.212e+04,3.657e+03,5.200e+05
21.7,5.454e+05,2.788e+04,3.751e+03,5.771e+05
23.0,4.793e+05,2.151e+04,3.565e+03,5.044e+05
24.3,4.902e+05,2.244e+04,3.642e+03,5.163e+05
25.5,4.382e+05,1.820e+04,4.128e+03,4.605e+05
26.8,4.801e+05,1.934e+04,3.990e+03,5.034e+05
28.1,5.984e+05,2.178e+04,4.542e+03,6.248e+05
29.4,5.671e+05,2.498e+04,5.012e+03,5.971e+05
30.6,5.288e+05,2.522e+04,5.188e+03,5.592e+05
31.9,5.687e+05,2.140e+04,4.802e+03,5.949e+05
33.2,5.592e+05,1.715e+04,4.117e+03,5.805e+05
34.5,6.155e+05,1.672e+04,3.998e+03,6.362e+05
35.7,6.598e+05,1.662e+04,4.757e+03,6.811e+05
37.0,7.023e+05,1.880e+04,5.307e+03,7.264e+05
38.3,7.906e+05,1.916e+04,6.114e+03,8.159e+05
39.6,7.884e+05,1.906e+04,6.042e+03,8.135e+05
40.9,9.980e+05,2.118e+04,6.480e+03,1.026e+06
42.1,9.521e+05,2.131e+04,7.229e+03,9.806e+05
43.4,1.089e+06,2.158e+04,9.642e+03,1.120e+06
44.7,1.266e+06,2.481e+04,1.072e+04,1.301e+06
46.0,1.657e+06,3.325e+04,1.129e+04,1.701e+06
47.2,1.766e+06,2.913e+04,9.511e+03,1.805e+06
48.5,2.342e+06,2.903e+04,8.568e+03,2.379e+06
49.8,2.521e+06,3.438e+04,7.438e+03,2.562e+06
51.1,1.779e+06,3.872e+04,6.133e+03,1.823e+06
52.3,1.633e+06,4.303e+04,6.158e+03,1.682e+06
53.6,1.556e+06,4.265e+04,6.521e+03,1.605e+06
54.9,1.692e+06,5.762e+04,1.020e+04,1.760e+06
56.2,1.515e+06,6.392e+04,1.090e+04,1.590e+06
57.5,1.463e+06,5.720e+04,9.795e+03,1.530e+06
58.7,1.665e+06,5.660e+04,8.058e+03,1.729e+06
60.0,1.936e+06,6.677e+04,7.669e+03,2.011e+06
61.3,2.342e+06,6.397e+04,8.516e+03,2.415e+06
62.6,3.179e+06,7.375e+04,9.603e+03,3.262e+06
63.8,3.668e+06,1.179e+05,1.152e+04,3.797e+06
65.1,4.823e+06,2.604e+05,1.232e+04,5.096e+06
66.4,4.255e+06,3.623e+05,1.055e+04,4.628e+06
67.7,5.467e+06,8.629e+05,1.024e+04,6.341e+06
68.9,5.889e+06,1.029e+06,9.603e+03,6.927e+06
70.2,4.227e+06,5.505e+05,8.537e+03,4.786e+06
71.5,4.675e+06,4.597e+05,1.025e+04,5.145e+06
72.8,4.902e+06,4.151e+05,1.306e+04,5.330e+06
74.1,4.660e+06,3.476e+05,1.420e+04,5.022e+06
75.3,3.806e+06,2.370e+05,1.393e+04,4.057e+06
76.6,3.329e+06,1.782e+05,1.339e+04,3.520e+06
77.9,3.987e+06,1.930e+05,1.625e+04,4.197e+06
79.2,2.669e+06,1.151e+05,1.453e+04,2.799e+06
80.4,2.512e+06,8.086e+04,1.580e+04,2.608e+06
81.7,2.678e+06,6.969e+04,1.863e+04,2.767e+06
83.0,2.405e+06,5.645e+04,1.932e+04,2.481e+06
84.3,2.296e+06,4.038e+04,2.080e+04,2.357e+06
85.5,1.653e+06,3.252e+04,2.018e+04,1.706e+06
86.8,1.416e+06,2.751e+04,2.278e+04,1.466e+06
88.1,1.254e+06,2.514e+04,2.170e+04,1.300e+06
89.4,1.033e+06,2.183e+04,2.037e+04,1.075e+06
90.6,9.865e+05,2.373e+04,2.227e+04,1.033e+06
91.9,9.529e+05,2.616e+04,2.317e+04,1.002e+06
93.2,7.720e+05,2.951e+04,2.003e+04,8.216e+05
94.5,7.455e+05,2.817e+04,1.967e+04,7.933e+05
95.8,7.224e+05,2.975e+04,2.107e+04,7.732e+05
97.0,7.431e+05,2.476e+04,2.186e+04,7.897e+05
98.3,6.751e+05,2.319e+04,2.081e+04,7.191e+05
99.6,6.260e+05,2.520e+04,1.928e+04,6.705e+05
100.9,5.788e+05,2.304e+04,1.815e+04,6.200e+05
102.1,6.116e+05,2.513e+04,1.839e+04,6.552e+05
103.4,5.936e+05,2.266e+04,1.733e+04,6.336e+05
104.7,5.760e+05,2.188e+04,1.679e+04,6.146e+05
106.0,5.715e+05,2.030e+04,1.829e+04,6.101e+05
107.2,5.861e+05,1.963e+04,1.636e+04,6.221e+05
108.5,6.810e+05,2.637e+04,1.700e+04,7.244e+05
109.8,7.242e+05,2.721e+04,1.655e+04,7.680e+05
111.1,7.173e+05,2.938e+04,1.453e+04,7.612e+05
112.4,9.008e+05,3.014e+04,1.553e+04,9.465e+05
113.6,8.025e+05,2.513e+04,1.528e+04,8.429e+05
114.9,7.216e+05,2.506e+04,1.458e+04,7.612e+05
116.2,8.226e+05,2.983e+04,1.619e+04,8.686e+05
117.5,8.107e+05,3.472e+04,1.628e+04,8.617e+05
118.7,9.443e+05,3.702e+04,1.587e+04,9.972e+05
120.0,8.210e+05,3.604e+04,1.440e+04,8.715e+05
121.3,6.293e+05,3.319e+04,1.397e+04,6.765e+05
122.6,7.146e+05,3.986e+04,1.619e+04,7.707e+05
123.8,5.145e+05,2.886e+04,1.452e+04,5.579e+05
125.1,5.435e+05,2.471e+04,1.620e+04,5.844e+05
126.4,5.830e+05,2.694e+04,1.827e+04,6.283e+05
127.7,5.709e+05,3.251e+04,2.030e+04,6.237e+05
129.0,5.743e+05,3.261e+04,2.090e+04,6.278e+05
130.2,4.423e+05,3.470e+04,2.228e+04,4.992e+05
131.5,4.077e+05,3.350e+04,2.418e+04,4.654e+05
132.8,4.148e+05,3.211e+04,2.406e+04,4.710e+05
134.1,2.769e+05,3.107e+04,2.798e+04,3.360e+05
135.3,2.661e+05,4.812e+04,3.140e+04,3.456e+05
136.6,2.273e+05,5.548e+04,2.852e+04,3.113e+05
137.9,2.355e+05,5.010e+04,3.363e+04,3.192e+05
139.2,2.446e+05,2.577e+04,3.229e+04,3.027e+05
140.4,2.123e+05,2.364e+04,2.903e+04,2.649e+05
141.7,1.990e+05,2.792e+04,2.855e+04,2.555e+05
143.0,1.516e+05,3.717e+04,2.170e+04,2.105e+05
144.3,1.438e+05,3.439e+04,1.994e+04,1.981e+05
145.6,1.632e+05,3.928e+04,2.054e+04,2.230e+05
146.8,1.490e+05,4.240e+04,2.217e+04,2.136e+05
148.1,1.400e+05,3.217e+04,2.153e+04,1.937e+05
149.4,1.557e+05,2.708e+04,2.137e+04,2.041e+05
150.7,1.660e+05,2.420e+04,2.012e+04,2.103e+05
151.9,1.656e+05,2.135e+04,2.381e+04,2.108e+05
153.2,1.717e+05,2.970e+04,2.653e+04,2.280e+05
154.5,1.569e+05,2.331e+04,1.974e+04,1.999e+05
155.8,1.961e+05,2.509e+04,2.992e+04,2.511e+05
157.0,1.938e+05,2.182e+04,3.333e+04,2.489e+05
158.3,1.876e+05,1.595e+04,2.911e+04,2.327e+05
159.6,1.763e+05,1.325e+04,2.363e+04,2.132e+05
160.9,1.931e+05,1.499e+04,3.221e+04,2.403e+05
162.1,2.196e+05,1.831e+04,3.818e+04,2.760e+05
163.4,2.129e+05,1.965e+04,3.324e+04,2.658e+05
164.7,2.441e+05,1.978e+04,5.170e+04,3.156e+05
166.0,2.767e+05,1.797e+04,6.520e+04,3.598e+05
167.3,2.710e+05,1.918e+04,6.243e+04,3.526e+05
168.5,2.690e+05,2.022e+04,6.468e+04,3.539e+05
169.8,2.604e+05,2.150e+04,6.284e+04,3.448e+05
171.1,2.567e+05,2.273e+04,6.301e+04,3.425e+05
172.4,2.959e+05,2.178e+04,7.199e+04,3.896e+05
173.6,2.763e+05,1.904e+04,7.198e+04,3.674e+05
174.9,2.639e+05,2.427e+04,7.146e+04,3.596e+05
176.2,3.621e+05,2.635e+04,1.031e+05,4.915e+05
177.5,3.047e+05,2.293e+04,7.997e+04,4.076e+05
178.7,3.258e+05,2.693e+04,8.392e+04,4.366e+05
180.0,2.898e+05,2.531e+04,7.670e+04,3.918e+05
181.3,2.537e+05,2.315e+04,7.432e+04,3.512e+05
182.6,2.189e+05,2.216e+04,6.679e+04,3.078e+05
183.9,1.878e+05,2.374e+04,6.311e+04,2.746e+05
185.1,1.940e+05,2.772e+04,6.141e+04,2.831e+05
186.4,1.987e+05,2.622e+04,5.050e+04,2.754e+05
187.7,2.403e+05,3.488e+04,7.507e+04,3.503e+05
189.0,2.010e+05,3.190e+04,5.630e+04,2.892e+05
190.2,2.094e+05,3.844e+04,5.969e+04,3.076e+05
191.5,1.811e+05,3.432e+04,5.061e+04,2.660e+05
192.8,1.979e+05,3.977e+04,5.172e+04,2.893e+05
194.1,2.151e+05,4.732e+04,6.043e+04,3.228e+05
195.3,1.643e+05,3.586e+04,4.402e+04,2.442e+05
196.6,1.741e+05,4.359e+04,4.926e+04,2.669e+05
197.9,1.558e+05,3.993e+04,4.552e+04,2.413e+05
199.2,1.317e+05,3.369e+04,3.765e+04,2.030e+05
